user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment,user_id_clean,kyc_status_clean,risk_segment_clean,pan_clean,missing_pan_flag,invalid_pan_flag,aadhaar_clean,missing_aadhaar_flag,masked_aadhaar_flag,invalid_aadhaar_flag,date_of_birth_clean,missing_dob_flag,invalid_dob_flag,monthly_income_clean,missing_income_flag,negative_income_flag,invalid_income_flag,signup_timestamp_clean,missing_signup_timestamp_flag,future_signup_flag,city_clean,state_clean,occupation_clean,full_name_clean,kyc_status_conflict_flag,name_conflict_flag,pan_conflict_flag,aadhaar_conflict_flag,dob_conflict_flag,identity_conflict_score,user_id_core,kyc_record_count
USR10059,Darsh Bhatti,VDRFY3513K,6738 6640 3974,,Jalandhar,Punjab,"₹62,771",Unemployed,2024-06-23 22:19:56,APPROVED,MEDIUM,USR10059,APPROVED,MEDIUM,VDRFY3513K,0,0,673866403974,0,0,0,,1,0,62771.0,0,0,0,2024-06-23 22:19:56,0,0,Jalandhar,Punjab,Unemployed,DARSH BHATTI,0,0,0,0,0,0,10059,1
USR10064,Yamini Kapadia,LLLDU5856D,8877-5483-8298,1982-10-16 06:49:45,ludhiana,Punjab,,Gig Worker,,P,unknown,USR10064,PENDING,UNKNOWN,LLLDU5856D,0,0,887754838298,0,0,0,1982-10-16 06:49:45,0,0,,1,0,0,,1,0,Ludhiana,Punjab,Gig Worker,YAMINI KAPADIA,0,0,0,0,0,0,10064,1
USR10066,YashodaSom,GMSVD2441K,673424420270,26/07/2006 11:33 PM,Jaipur,Rajasthan,"Rs. 25,819",Student,05-15-2025,Under Review,Low,USR10066,IN_PROGRESS,LOW,GMSVD2441K,0,0,673424420270,0,0,0,2006-07-26 23:33:00,0,0,25819.0,0,0,0,2025-05-15 00:00:00,0,0,Jaipur,Rajasthan,Student,YASHODASOM,0,0,0,0,0,0,10066,1
USR 10069,Fiyaz Pingle,RAHVJ4104Y,9873-3855-5178,27-Sep-1961,Mumbai,Maharashtra,49895,Business Owner,,APPROVED,medium,USR10069,APPROVED,MEDIUM,RAHVJ4104Y,0,0,987338555178,0,0,0,1961-09-27 00:00:00,0,0,49895.0,0,0,0,,1,0,Mumbai,Maharashtra,Business Owner,FIYAZ PINGLE,0,0,0,0,0,0,10069,1
USR10070,  Vedhika Chaudhry  ,YDFTR 4800 M,756077517652,17-Mar-1976,Lucknow,Uttar Pradesh,10797,Salaried,26/06/2025,KYC_DONE,low,USR10070,APPROVED,LOW,YDFTR4800M,0,0,756077517652,0,0,0,1976-03-17 00:00:00,0,0,10797.0,0,0,0,2025-06-26 00:00:00,0,0,Lucknow,Uttar Pradesh,Salaried,VEDHIKA CHAUDHRY,0,0,0,0,0,0,10070,1
USR10078,BalvanChoudhary,ETFYC6320D,761378261162,,Bangalore,Karnataka,,Unemployed,15/10/2025,KYC_DONE,HIGH,USR10078,APPROVED,HIGH,ETFYC6320D,0,0,761378261162,0,0,0,,1,0,,1,0,0,2025-10-15 00:00:00,0,0,Bengaluru,Karnataka,Unemployed,BALVANCHOUDHARY,0,0,0,0,0,0,10078,1
USR10085,neel deol,CCHNM7498D,109354020756,356310063,Hyd,Telangana,,Retired,23-Apr-2025,APPROVED,Medium,USR10085,APPROVED,MEDIUM,CCHNM7498D,0,0,109354020756,0,0,0,1981-04-16 23:01:03,0,0,,1,0,0,2025-04-23 00:00:00,0,0,Hyderabad,Telangana,Retired,NEEL DEOL,0,0,0,0,0,0,10085,1
USR10086,Idika Biswas,IHKMF2011Z,4236 1429 3017,11-12-1998,Bangalore,Karnataka,29650,Retired,2024-08-08 15:24:44,REJECTED,LOW,USR10086,REJECTED,LOW,IHKMF2011Z,0,0,423614293017,0,0,0,1998-11-12 00:00:00,0,0,29650.0,0,0,0,2024-08-08 15:24:44,0,0,Bengaluru,Karnataka,Retired,IDIKA BISWAS,0,0,0,0,0,0,10086,1
usr10088,Jyoti Soni,JNJEH7052X,7168-0897-3823,01-05-1986,LDH,Punjab,26367,Student,,PENDING,Low,USR10088,PENDING,LOW,JNJEH7052X,0,0,716808973823,0,0,0,1986-01-05 00:00:00,0,0,26367.0,0,0,0,,1,0,Ludhiana,Punjab,Student,JYOTI SONI,1,0,0,0,0,0,10088,2
usr_10090,Arya Nadig,FXVKY3589L,1136565448,218153567,lucknow,Uttar Pradesh,"Rs. 13,798",Freelancer,,Verified,low,USR10090,APPROVED,LOW,FXVKY3589L,0,0,1136565448,0,0,1,1976-11-29 22:12:47,0,0,13798.0,0,0,0,,1,0,Lucknow,Uttar Pradesh,Freelancer,ARYA NADIG,0,0,0,0,0,0,10090,1
USR10093,widisha ganesan,,4735-7183-0492,08/01/1967,ludhiana,Punjab,Not Available,Student,1761873920,Done,high,USR10093,APPROVED,HIGH,,1,0,473571830492,0,0,0,1967-01-08 00:00:00,0,0,,1,0,1,2025-10-31 01:25:20,0,0,Ludhiana,Punjab,Student,WIDISHA GANESAN,0,0,0,0,0,0,10093,1
usr10095,Dalbir Kala,MYAQM7278K,3467548505208,1996/11/30,Jalandar,Punjab,33245,Gig Worker,1752262369,V,LOW,USR10095,APPROVED,LOW,MYAQM7278K,0,0,3467548505208,0,0,1,1996-11-30 00:00:00,0,0,33245.0,0,0,0,2025-07-11 19:32:49,0,0,Jalandhar,Punjab,Gig Worker,DALBIR KALA,0,0,0,0,0,0,10095,1
USR10096,MICHAEL KAPADIA,JKIQW6925C,1849 0783 4944,03/05/1980,Hyderabad,Telangana,19706,Unemployed,27/07/2024,APPROVED,Low,USR10096,APPROVED,LOW,JKIQW6925C,0,0,184907834944,0,0,0,1980-05-03 00:00:00,0,0,19706.0,0,0,0,2024-07-27 00:00:00,0,0,Hyderabad,Telangana,Unemployed,MICHAEL KAPADIA,0,0,0,0,0,0,10096,1
USR10097,Faris Rattan,ejtqu5238w,3112-9742-2048,1961/09/26,kolkata,West Bengal,71021,Unemployed,2025/02/10,APPROVED,Low,USR10097,APPROVED,LOW,EJTQU5238W,0,0,311297422048,0,0,0,1961-09-26 00:00:00,0,0,71021.0,0,0,0,2025-02-10 00:00:00,0,0,Kolkata,West Bengal,Unemployed,FARIS RATTAN,0,0,0,0,0,0,10097,1
10098,xiti ben,QUPZM7586,6201-9116-2413,12-Oct-1961,Chennai,Tamil Nadu,"INR 9,421",Gig Worker,07-22-2025,Rejected,LOW,10098,REJECTED,LOW,QUPZM7586,0,1,620191162413,0,0,0,1961-10-12 00:00:00,0,0,9421.0,0,0,0,2025-07-22 00:00:00,0,0,Chennai,Tamil Nadu,Gig Worker,XITI BEN,0,0,0,0,0,0,10098,2
10100,Gavin Mani,,947872427502,29/12/2002,Jalandhar,Punjab,79104,Student,15-Apr-2025,Verified,low,10100,APPROVED,LOW,,1,0,947872427502,0,0,0,2002-12-29 00:00:00,0,0,79104.0,0,0,0,2025-04-15 00:00:00,0,0,Jalandhar,Punjab,Student,GAVIN MANI,0,0,0,0,0,0,10100,1
USR10101,Vincent Borra,VFLAA3488C,686909110994,21/08/1966,Jalandar,Punjab,34.0k,Unemployed,07-24-2024,V,HIGH,USR10101,APPROVED,HIGH,VFLAA3488C,0,0,686909110994,0,0,0,1966-08-21 00:00:00,0,0,34000.0,0,0,0,2024-07-24 00:00:00,0,0,Jalandhar,Punjab,Unemployed,VINCENT BORRA,0,0,0,0,0,0,10101,1
USR-10106,Onveer Devi,BJQZX0061,9709-7696-2188,2004-10-20 01:18:08,Ludhiana,Punjab,"₹27,821",Unemployed,19-Jan-2024,KYC_DONE,Low,USR10106,APPROVED,LOW,BJQZX0061,0,1,970976962188,0,0,0,2004-10-20 01:18:08,0,0,27821.0,0,0,0,2024-01-19 00:00:00,0,0,Ludhiana,Punjab,Unemployed,ONVEER DEVI,0,0,0,0,0,0,10106,1
10107,KALPIT NARAYAN,PSZIU4769J,757616349442,24/03/1982 11:23 AM,Hyderabad,Telangana,47795,Self Employed,19/02/2026,V,LOW,10107,APPROVED,LOW,PSZIU4769J,0,0,757616349442,0,0,0,1982-03-24 11:23:00,0,0,47795.0,0,0,0,2026-02-19 00:00:00,0,0,Hyderabad,Telangana,Self Employed,KALPIT NARAYAN,0,0,0,0,0,0,10107,1
USR10108,Chame1i Nadig,BOOZV5903,7908 2325 7838,126843811,chennai,Tamil Nadu,21734,Salaried,2025-11-03 14:51:55,Done,Medium,USR10108,APPROVED,MEDIUM,BOOZV5903,0,1,790823257838,0,0,0,1974-01-08 02:23:31,0,0,21734.0,0,0,0,2025-11-03 14:51:55,0,0,Chennai,Tamil Nadu,Salaried,CHAME1I NADIG,0,0,0,0,0,0,10108,1
USR 10114,  Anya Gera  ,,,14-Oct-1970,New Delhi,Delhi,17607,Retired,1711548428,Verified,medium,USR10114,APPROVED,MEDIUM,,1,0,,1,0,0,1970-10-14 00:00:00,0,0,17607.0,0,0,0,2024-03-27 14:07:08,0,0,Delhi,Delhi,Retired,ANYA GERA,0,0,0,0,0,0,10114,1
USR-10115,Veda Wali,ubcjf9557q,771321797377,1966-08-16 16:16:39,Madras,Tamil Nadu,34289,Salaried,1759012180,APPROVED,low,USR10115,APPROVED,LOW,UBCJF9557Q,0,0,771321797377,0,0,0,1966-08-16 16:16:39,0,0,34289.0,0,0,0,2025-09-27 22:29:40,0,0,Chennai,Tamil Nadu,Salaried,VEDA WALI,0,0,0,0,0,0,10115,1
USR 10123,Jyoti Mukhopadhyay,VFJGH8521W,1638 5048 8808,1984-08-31 09:07:44,LKO,Uttar Pradesh,14855,Retired,1768495892,VERIFIED,medium,USR10123,APPROVED,MEDIUM,VFJGH8521W,0,0,163850488808,0,0,0,1984-08-31 09:07:44,0,0,14855.0,0,0,0,2026-01-15 16:51:32,0,0,Lucknow,Uttar Pradesh,Retired,JYOTI MUKHOPADHYAY,0,0,0,0,0,0,10123,1
USR10126,Chandresh Bail,ERXIZ 5289 Y,481696420560,10/05/1968 01:34 PM,pune,Maharashtra,49735,Unemployed,21/01/2025,Done,Low,USR10126,APPROVED,LOW,ERXIZ5289Y,0,0,481696420560,0,0,0,1968-05-10 13:34:00,0,0,49735.0,0,0,0,2025-01-21 00:00:00,0,0,Pune,Maharashtra,Unemployed,CHANDRESH BAIL,0,0,0,0,0,0,10126,1
10129,GABRIEL DUGAR,OWICS9646E,963852600278,16/04/1986,Lucknow,Uttar Pradesh,30244,Freelancer,13/09/2025,APPROVED,Medium,10129,APPROVED,MEDIUM,OWICS9646E,0,0,963852600278,0,0,0,1986-04-16 00:00:00,0,0,30244.0,0,0,0,2025-09-13 00:00:00,0,0,Lucknow,Uttar Pradesh,Freelancer,GABRIEL DUGAR,0,0,0,0,0,0,10129,1
10130,Osha Raj,HHAIS6963P,082450593233,25-Jun-1990,Pune,Maharashtra,52292,Business Owner,07-25-2024,P,low,10130,PENDING,LOW,HHAIS6963P,0,0,082450593233,0,0,0,1990-06-25 00:00:00,0,0,52292.0,0,0,0,2024-07-25 00:00:00,0,0,Pune,Maharashtra,Business Owner,OSHA RAJ,0,0,0,0,0,0,10130,1
USR 10131,KASHISH DUA,JBNMU8104T,225688125895,980445179,Madras,Tamil Nadu,39868,Business Owner,14/02/2026,APPROVED,unknown,USR10131,APPROVED,UNKNOWN,JBNMU8104T,0,0,225688125895,0,0,0,2001-01-25 17:52:59,0,0,39868.0,0,0,0,2026-02-14 00:00:00,0,0,Chennai,Tamil Nadu,Business Owner,KASHISH DUA,0,0,0,0,0,0,10131,1
10133,Finn Cheema,MXJMT0296U,4696 1398 4462,17/11/1982 07:24 AM,mumbai,Maharashtra,38349,Self Employed,20/07/2025,V,High,10133,APPROVED,HIGH,MXJMT0296U,0,0,469613984462,0,0,0,1982-11-17 07:24:00,0,0,38349.0,0,0,0,2025-07-20 00:00:00,0,0,Mumbai,Maharashtra,Self Employed,FINN CHEEMA,0,0,0,0,0,0,10133,1
USR10143,Vrishti Devi,QBJQU 2549 A,907263797341,23/01/1973,Mumbai,Maharashtra,20853,Farmer,26/02/2025,Done,LOW,USR10143,APPROVED,LOW,QBJQU2549A,0,0,907263797341,0,0,0,1973-01-23 00:00:00,0,0,20853.0,0,0,0,2025-02-26 00:00:00,0,0,Mumbai,Maharashtra,Farmer,VRISHTI DEVI,0,0,0,0,0,0,10143,1
USR10155,Vasatika Pall,VGPGC1828H,901764989131,21-Aug-1970,Bombay,Maharashtra,,Salaried,26/12/2024 04:40 AM,IN_PROGRESS,High,USR10155,IN_PROGRESS,HIGH,VGPGC1828H,0,0,901764989131,0,0,0,1970-08-21 00:00:00,0,0,,1,0,0,2024-12-26 04:40:00,0,0,Mumbai,Maharashtra,Salaried,VASATIKA PALL,0,0,0,0,0,0,10155,1
USR10157,jonathan sood,SFLSS8791F,0170542962,01-03-1963,Pune,Maharashtra,,Business Owner,2024/10/04,KYC_DONE,High,USR10157,APPROVED,HIGH,SFLSS8791F,0,0,0170542962,0,0,1,1963-01-03 00:00:00,0,0,,1,0,0,2024-10-04 00:00:00,0,0,Pune,Maharashtra,Business Owner,JONATHAN SOOD,0,0,0,0,0,0,10157,2
USR10161,Ganga Date,WYXR01853U,064650703481,,Jaipur,Rajasthan,49452,Gig Worker,09/11/2024,APPROVED,LOW,USR10161,APPROVED,LOW,WYXR01853U,0,1,064650703481,0,0,0,,1,0,49452.0,0,0,0,2024-11-09 00:00:00,0,0,Jaipur,Rajasthan,Gig Worker,GANGA DATE,0,0,0,0,0,0,10161,1
USR10165,  Manbir Manne  ,ACZUX-1398-N,1559-2845-4479,1993/06/01,Madras,Tamil Nadu,,Self Employed,22-Jul-2025,IN_PROGRESS,low,USR10165,IN_PROGRESS,LOW,ACZUX1398N,0,0,155928454479,0,0,0,1993-06-01 00:00:00,0,0,,1,0,0,2025-07-22 00:00:00,0,0,Chennai,Tamil Nadu,Self Employed,MANBIR MANNE,0,0,0,0,0,0,10165,1
USR10166,Maya Sane,ZXJPO-3686-X,117697892537,19/01/1978,jaipur,Rajasthan,35.8k,Salaried,22-Apr-2024,Verified,medium,USR10166,APPROVED,MEDIUM,ZXJPO3686X,0,0,117697892537,0,0,0,1978-01-19 00:00:00,0,0,35800.0,0,0,0,2024-04-22 00:00:00,0,0,Jaipur,Rajasthan,Salaried,MAYA SANE,0,0,0,0,0,0,10166,1
USR10168,Aarini Rajan,jpgrs7003u,915458342856,17/09/1967 02:24 AM,BLR,Karnataka,11.3k,Retired,06-Jan-2025,Under Review,low,USR10168,IN_PROGRESS,LOW,JPGRS7003U,0,0,915458342856,0,0,0,1967-09-17 02:24:00,0,0,11300.0,0,0,0,2025-01-06 00:00:00,0,0,Bengaluru,Karnataka,Retired,AARINI RAJAN,0,0,0,0,0,0,10168,1
USR10171,Aditya Sibal,,611732550236,23-Oct-1987,jaipur,Rajasthan,22421,Salaried,1723429564,KYC_DONE,UNKNOWN,USR10171,APPROVED,UNKNOWN,,1,0,611732550236,0,0,0,1987-10-23 00:00:00,0,0,22421.0,0,0,0,2024-08-12 02:26:04,0,0,Jaipur,Rajasthan,Salaried,ADITYA SIBAL,0,1,0,1,1,3,10171,2
usr_10174,dayamai borra,GXEQU6279D,292374710522,28/03/1962 09:49 PM,chennai,Tamil Nadu,"₹97,324",Farmer,24/05/2025,Done,low,USR10174,APPROVED,LOW,GXEQU6279D,0,0,292374710522,0,0,0,1962-03-28 21:49:00,0,0,97324.0,0,0,0,2025-05-24 00:00:00,0,0,Chennai,Tamil Nadu,Farmer,DAYAMAI BORRA,0,0,0,0,0,0,10174,1
10176,  Alka Bir  ,BCWDB7161,XXXX-XXXX-5526,24/02/1971,chennai,Tamil Nadu,27058,Salaried,05/02/2025,R,LOW,10176,REJECTED,LOW,BCWDB7161,0,1,XXXXXXXX5526,0,1,0,1971-02-24 00:00:00,0,0,27058.0,0,0,0,2025-02-05 00:00:00,0,0,Chennai,Tamil Nadu,Salaried,ALKA BIR,0,0,0,0,0,0,10176,1
USR10182,Gunbir S0man,WLTCF3280,425164834247,07-May-2007,pune,Maharashtra,31424,Freelancer,2026-01-16 21:12:56,V,Low,USR10182,APPROVED,LOW,WLTCF3280,0,1,425164834247,0,0,0,2007-05-07 00:00:00,0,0,31424.0,0,0,0,2026-01-16 21:12:56,0,0,Pune,Maharashtra,Freelancer,GUNBIR S0MAN,0,0,0,0,0,0,10182,1
USR10185,Jasmit Rajagopalan,,695364276991,1989-04-24 11:03:06,ASR,Punjab,74324,Gig Worker,01-07-2024,V,LOW,USR10185,APPROVED,LOW,,1,0,695364276991,0,0,0,1989-04-24 11:03:06,0,0,74324.0,0,0,0,2024-07-01 00:00:00,0,0,Amritsar,Punjab,Gig Worker,JASMIT RAJAGOPALAN,0,0,0,0,0,0,10185,1
USR10188,SIMON PARSA,GGAKL4874Q,682071929256,26/01/1997 01:19 PM,Dilli,Delhi,29546,Farmer,,Rejected,HIGH,USR10188,REJECTED,HIGH,GGAKL4874Q,0,0,682071929256,0,0,0,1997-01-26 13:19:00,0,0,29546.0,0,0,0,,1,0,Delhi,Delhi,Farmer,SIMON PARSA,1,1,1,1,1,4,10188,3
usr10192,Lucky Sani,EUSEA1656K,9419-5510-5791,12/06/1980 10:14 AM,Bombay,Maharashtra,32350,Farmer,2025/07/24,KYC_DONE,Low,USR10192,APPROVED,LOW,EUSEA1656K,0,0,941955105791,0,0,0,1980-06-12 10:14:00,0,0,32350.0,0,0,0,2025-07-24 00:00:00,0,0,Mumbai,Maharashtra,Farmer,LUCKY SANI,0,0,0,0,0,0,10192,1
USR10194,Balvan Narayanan,,918298910365,08-29-1992,LKO,Uttar Pradesh,8557,Salaried,02/12/2025 11:44 PM,APPROVED,MEDIUM,USR10194,APPROVED,MEDIUM,,1,0,918298910365,0,0,0,1992-08-29 00:00:00,0,0,8557.0,0,0,0,2025-12-02 23:44:00,0,0,Lucknow,Uttar Pradesh,Salaried,BALVAN NARAYANAN,0,1,0,1,1,3,10194,2
USR-10195,Unnati Shukla,WTDLO1743Z,9621-5601-3549,1988-04-16 07:20:27,ludhiana,Punjab,"Rs. 11,451",Student,1756567089,KYC_DONE,HIGH,USR10195,APPROVED,HIGH,WTDLO1743Z,0,0,962156013549,0,0,0,1988-04-16 07:20:27,0,0,11451.0,0,0,0,2025-08-30 15:18:09,0,0,Ludhiana,Punjab,Student,UNNATI SHUKLA,0,0,0,0,0,0,10195,1
