merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size,merchant_id_clean,mcc_clean,business_type_clean,merchant_category_clean,onboarding_date_clean,missing_onboarding_date_flag,invalid_onboarding_date_flag,settlement_account_clean,missing_settlement_account_flag,masked_settlement_account_flag,declared_avg_ticket_clean,missing_avg_ticket_flag,negative_avg_ticket_flag,merchant_id_core,merchant_category_conflict_flag,merchant_business_type_conflict_flag,merchant_status_conflict_flag,merchant_conflict_score,merchant_record_count
MCH-1015,Mannan-Subramaniam,7011,Hotels,INDIVIDUAL,Hyd,Telangana,05-19-2024,,Active,-1116.83,MCH1015,7011,Individual,Hotels & Hospitality,2024-05-19 00:00:00,0,0,,1,0,-1116.83,0,1,1015,0,0,0,0,1
MCH 1016,"CHAR, BHARGAVA AND CHAUDHARY",05812,Restaurant,PRIVATE_LIMITED,Hyd,Telangana,,TODJ2902550918108,A,"Rs. 1,933",MCH1016,5812,Private Limited,Food & Restaurants,,1,0,TODJ2902550918108,0,0,1933.0,0,0,1016,1,1,1,3,3
MCH1018,Kannan-Khatri,5311.0,DEPT_STORE,INDIVIDUAL,Jalandar,Punjab,2023/03/19,,ACTIVE,"Rs. 1,791",MCH1018,5311,Individual,Department Stores,2023-03-19 00:00:00,0,0,,1,0,1791.0,0,0,1018,0,0,0,0,1
MCH1019,Iyer-Thaker,5699,Clothing,Partnership,Kolkata,West Bengal,23-May-2025,XXXX9462,Live,,MCH1019,5699,Partnership,Clothing,2025-05-23 00:00:00,0,0,XXXX9462,0,1,,1,0,1019,0,0,0,0,1
MCH1020,Garg-Kale,MCC-4131,transprt,sole_proprietor,ASR,Punjab,05-09-2023,,Enabled,1015.68,MCH1020,4131,Sole Proprietor,Transportation,2023-05-09 00:00:00,0,0,,1,0,1015.68,0,0,1020,0,0,0,0,1
MCH1021,VARGHESE-RAMACHANDRAN,5812,FOOD_SERVICES,PRIVATE-LIMITED,ASR,Punjab,,,ACTIVE,Rs. 734,MCH1021,5812,Private Limited,Food & Restaurants,,1,0,,1,0,734.0,0,0,1021,1,1,1,3,2
MCH1022,Ramesh-Bhat,,Other,PRIVATE-LIMITED,HYDERABAD,Telangana,,,A,"3,026.17",MCH1022,,Private Limited,Unknown,,1,0,,1,0,3026.17,0,0,1022,0,0,0,0,1
MCH 1032,Nori-Nigam,7011,Hotels,SOLE_PROPRIETOR,pune,Maharashtra,21/09/2025,DXHQ1859405929058,Enabled,652.29,MCH1032,7011,Sole Proprietor,Hotels & Hospitality,2025-09-21 00:00:00,0,0,DXHQ1859405929058,0,1,652.29,0,0,1032,0,1,1,2,3
MCH-1033,Sidhu and Sons,4814,phone service,individual,Jalandhar,Punjab,11-Sep-2023,WXKC0706100279623,Active,"1,871.48",MCH1033,4814,Individual,Telecom,2023-09-11 00:00:00,0,0,WXKC0706100279623,0,1,1871.48,0,0,1033,1,0,1,2,2
MCH1034,DEVI-CHAUDHARI,7011,Hospitality,private_limited,DELHI,Delhi,17/06/2024 10:15 PM,XXXX9097,Enabled,₹243.38,MCH1034,7011,Private Limited,Hotels & Hospitality,2024-06-17 22:15:00,0,0,XXXX9097,0,1,243.38,0,0,1034,0,0,0,0,1
MCH1035,  Minhas-Khatri  ,5812.0,Restaurants,SOLE-PROPRIETOR,Mumbay,Maharashtra,01-24-2024,LDCT0604920639781,Active,"INR 5,777.68",MCH1035,5812,Sole Proprietor,Food & Restaurants,2024-01-24 00:00:00,0,0,LDCT0604920639781,0,0,5777.68,0,0,1035,0,0,0,0,1
mch1039,Lal-Barad,4814,TELECOM,SOLE_PROPRIETOR,LKO,Uttar Pradesh,28/07/2025 12:43 AM,,Active,"INR 3,062.03",MCH1039,4814,Sole Proprietor,Telecom,2025-07-28 00:43:00,0,0,,1,0,3062.03,0,0,1039,0,1,0,1,2
MCH1040,chand plc,5912,Medical,INDIVIDUAL,pune,Maharashtra,2024/09/08,,A,653.92,MCH1040,5912,Individual,Pharmacy & Medical,2024-09-08 00:00:00,0,0,,1,0,653.92,0,0,1040,1,1,1,3,2
MCH1041,Pat1a-S0m,,Fashion,private_limited,kolkata,West Bengal,04-21-2024,,Active,3701.53,MCH1041,,Private Limited,Unknown,2024-04-21 00:00:00,0,0,,1,0,3701.53,0,0,1041,0,0,0,0,1
MCH 1044,"Jha, Salvi and Setty",5311,Retail,Partnership,HYDERABAD,Telangana,28-Oct-2024,VZSQ7155957356020,ACTIVE,1084.93,MCH1044,5311,Partnership,Department Stores,2024-10-28 00:00:00,0,0,VZSQ7155957356020,0,0,1084.93,0,0,1044,0,0,0,0,1
MCH1047,Rana-Aurora,4814,Telecom,Partnership,Bangalore,Karnataka,20/08/2023 01:01 AM,BJXS0430805448675,Enabled,"INR 1,003.46",MCH1047,4814,Partnership,Telecom,2023-08-20 01:01:00,0,0,BJXS0430805448675,0,1,1003.46,0,0,1047,1,1,1,3,2
mch1050,Trivedi-Zachariah,5699,Apparel,Sole Proprietor,Jaipur,Rajasthan,01-30-2025,0368449602,Active,"₹2,479.88",MCH1050,5699,Sole Proprietor,Clothing,2025-01-30 00:00:00,0,0,0368449602,0,0,2479.88,0,0,1050,0,0,0,0,1
MCH1053,"gera, grover and sehgal",MCC-4814,Mobile Recharge,Individual,Amritsar,Punjab,22-Feb-2025,,Enabled,-708.11,MCH1053,4814,Individual,Telecom,2025-02-22 00:00:00,0,0,,1,0,-708.11,0,1,1053,0,0,0,0,1
MCH1054,  Cheema Ltd  ,5311,Department Store,PRIVATE-LIMITED,Pune,Maharashtra,2023/05/27,,Active,INR 868.09,MCH1054,5311,Private Limited,Department Stores,2023-05-27 00:00:00,0,0,,1,0,868.09,0,0,1054,0,0,0,0,1
MCH 1055,Dhingra-Kapoor,5311,Retail,partnership,BLR,Karnataka,2024-12-30 03:08:34,6794786904,Enabled,-770.74,MCH1055,5311,Partnership,Department Stores,2024-12-30 03:08:34,0,0,6794786904,0,0,-770.74,0,1,1055,0,0,0,0,1
MCH1056,Mital-Jhaveri,5311,Department Stores,PARTNERSHIP,ASR,Punjab,2023-09-10 00:09:34,6820698589,Active,5938.05,MCH1056,5311,Partnership,Department Stores,2023-09-10 00:09:34,0,0,6820698589,0,0,5938.05,0,0,1056,0,0,0,0,1
MCH 1058,"Vyas,VirkandDatta",05311,DEPT_STORE,partnership,Poona,Maharashtra,20-Jan-2023,XXXX0826,A,"INR 1,504.39",MCH1058,5311,Partnership,Department Stores,2023-01-20 00:00:00,0,0,XXXX0826,0,1,1504.39,0,0,1058,0,0,0,0,1
1059,Prasad Ltd,4814,phone service,PARTNERSHIP,Hyd,Telangana,18/03/2023,XXXX9900,Active,"INR 4,187.75",1059,4814,Partnership,Telecom,2023-03-18 00:00:00,0,0,XXXX9900,0,1,4187.75,0,0,1059,0,0,0,0,1
mch1060,"Subramaniam, Rama and Contractor",4131,Transport,individual,HYDERABAD,Telangana,1714640414,FXHY9362967598468,Enabled,Rs. 480,MCH1060,4131,Individual,Transportation,2024-05-02 09:00:14,0,0,FXHY9362967598468,0,1,480.0,0,0,1060,1,1,1,3,3
MCH1063,"Samra, Sur and Venkataraman",5999,Retail Other,PRIVATE_LIMITED,Chennai,Tamil Nadu,13/06/2023,2476053551,Enabled,"₹1,297.70",MCH1063,5999,Private Limited,Other Retail,2023-06-13 00:00:00,0,0,2476053551,0,0,1297.7,0,0,1063,0,0,0,0,1
1064,Nanda Ltd,5812,eating place,individual,amritsar,Punjab,1757458144,,ACTIVE,"INR 1,182.15",1064,5812,Individual,Food & Restaurants,2025-09-09 22:49:04,0,0,,1,0,1182.15,0,0,1064,1,1,1,3,2
MCH1068,Mall-Palan,,Other,sole_proprietor,Jaipur,Rajasthan,09/02/2026 09:23 AM,PKRN8629349498422,Live,663.04,MCH1068,,Sole Proprietor,Unknown,2026-02-09 09:23:00,0,0,PKRN8629349498422,0,0,663.04,0,0,1068,0,0,0,0,1
MCH-1070,Pandya PLC,5999,Misc Retail,Private Limited,chennai,Tamil Nadu,03-Sep-2024,,A,1259.2,MCH1070,5999,Private Limited,Other Retail,2024-09-03 00:00:00,0,0,,1,0,1259.2,0,0,1070,0,0,0,0,1
MCH1071,"Keer, Roy and Narayanan",,Medical,sole_proprietor,JPR,Rajasthan,17-Apr-2025,4373595007,Enabled,619.21,MCH1071,,Sole Proprietor,Unknown,2025-04-17 00:00:00,0,0,4373595007,0,0,619.21,0,0,1071,1,1,1,3,3
MCH1072,Kalla-Khalsa,5812,Restaurants,private_limited,mumbai,Maharashtra,10-Nov-2025,,Disabled,422.23,MCH1072,5812,Private Limited,Food & Restaurants,2025-11-10 00:00:00,0,0,,1,0,422.23,0,0,1072,0,0,0,0,1
MCH 1073,"Dasgupta,RayandDara",misc,MEDICAL_STORE,partnership,Lucknow,Uttar Pradesh,2024/09/22,XXXX7293,Suspended,1002.63,MCH1073,,Partnership,Unknown,2024-09-22 00:00:00,0,0,XXXX7293,0,1,1002.63,0,0,1073,0,0,0,0,1
MCH-1075,Pingle-Mohan,5912,Medical,SOLE-PROPRIETOR,ludhiana,Punjab,2025/02/24,XXXX2118,Active,"₹1,639.19",MCH1075,5912,Sole Proprietor,Pharmacy & Medical,2025-02-24 00:00:00,0,0,XXXX2118,0,1,1639.19,0,0,1075,1,1,1,3,2
1077,Taneja-Nagar,5411,kirana,Individual,ASR,Punjab,27/02/2026,QQWI6101172213624,ACTIVE,358.21,1077,5411,Individual,Grocery,2026-02-27 00:00:00,0,0,QQWI6101172213624,0,0,358.21,0,0,1077,1,0,1,2,3
MCH1079,Sharaf and Sons,,Mobile Recharge,Sole Proprietor,Poona,Maharashtra,20/10/2023,,A,₹455.39,MCH1079,,Sole Proprietor,Unknown,2023-10-20 00:00:00,0,0,,1,0,455.39,0,0,1079,0,0,0,0,1
MCH1081,Mistry Group,5812,FOOD_SERVICES,private_limited,Mumbay,Maharashtra,2025/05/27,XXXX5682,ACTIVE,"INR 2,299.04",MCH1081,5812,Private Limited,Food & Restaurants,2025-05-27 00:00:00,0,0,XXXX5682,0,1,2299.04,0,0,1081,0,0,0,0,1
mch1082,Oommen Inc,7011.0,Hotel,Partnership,amritsar,Punjab,,6717543820,ACTIVE,₹833.19,MCH1082,7011,Partnership,Hotels & Hospitality,,1,0,6717543820,0,0,833.19,0,0,1082,0,0,0,0,1
1083,Chaudhry-Bhat,5812,food,SOLE-PROPRIETOR,Jalandhar,Punjab,30-Apr-2025,DSMZ2555394666399,Suspended,INR 730.39,1083,5812,Sole Proprietor,Food & Restaurants,2025-04-30 00:00:00,0,0,DSMZ2555394666399,0,0,730.39,0,0,1083,0,0,1,1,2
1084,Krishnamurthy Inc,5999.0,Other,PRIVATE_LIMITED,Jalandar,Punjab,04-21-2025,7207827487,Active,4469.21,1084,5999,Private Limited,Other Retail,2025-04-21 00:00:00,0,0,7207827487,0,0,4469.21,0,0,1084,0,0,0,0,1
MCH1086,Agrawal-Sule,misc,Apparel,INDIVIDUAL,ludhiana,Punjab,13-Nov-2023,,Live,1355.59,MCH1086,,Individual,Unknown,2023-11-13 00:00:00,0,0,,1,0,1355.59,0,0,1086,0,0,0,0,1
MCH1087,"Mitter, Sawhney and Luthra",7011,Hotels,Partnership,Madras,Tamil Nadu,04-19-2025,,SUSPENDED,"INR 2,381.71",MCH1087,7011,Partnership,Hotels & Hospitality,2025-04-19 00:00:00,0,0,,1,0,2381.71,0,0,1087,0,0,0,0,1
MCH1089,"Mann, Edwin and Misra",05411,kirana,Individual,jaipur,Rajasthan,,7489263549,ACTIVE,Rs. 678,MCH1089,5411,Individual,Grocery,,1,0,7489263549,0,0,678.0,0,0,1089,1,0,1,2,2
mch1093,"dubey, uppal and bhatt",5812,FOOD_SERVICES,PRIVATE_LIMITED,Poona,Maharashtra,26/04/2025,,Closed,4005.67,MCH1093,5812,Private Limited,Food & Restaurants,2025-04-26 00:00:00,0,0,,1,0,4005.67,0,0,1093,0,0,0,0,1
MCH 1095,Mander Group,04814,phone service,PARTNERSHIP,kolkata,West Bengal,2023-01-30 03:08:00,XXXX5510,A,"1,277.94",MCH1095,4814,Partnership,Telecom,2023-01-30 03:08:00,0,0,XXXX5510,0,1,1277.94,0,0,1095,0,0,0,0,1
MCH1096,Subramanian-Prasad,5699,Fashion,INDIVIDUAL,Hyd,Telangana,1741315310,,Active,"INR 8,373.82",MCH1096,5699,Individual,Clothing,2025-03-07 02:41:50,0,0,,1,0,8373.82,0,0,1096,0,0,0,0,1
MCH1097,"Narayan, Datta and Chowdhury",5999,Other,INDIVIDUAL,LKO,Uttar Pradesh,05-09-2025,,Enabled,343.8,MCH1097,5999,Individual,Other Retail,2025-05-09 00:00:00,0,0,,1,0,343.8,0,0,1097,0,0,0,0,1
MCH1098,"raval, yadav and yogi",7011,Hotel,Private Limited,Jaipur,Rajasthan,01/12/2023,XXXX3614,ACTIVE,Rs. 181,MCH1098,7011,Private Limited,Hotels & Hospitality,2023-12-01 00:00:00,0,0,XXXX3614,0,1,181.0,0,0,1098,0,0,0,0,1
MCH1100,swamy inc,5311,retail,Partnership,Ludhiana,Punjab,17-Aug-2024,9084083237,Inactive,"2,008.22",MCH1100,5311,Partnership,Department Stores,2024-08-17 00:00:00,0,0,9084083237,0,0,2008.22,0,0,1100,0,0,0,0,2
MCH1101,Ramaswamy-Prabhakar,5912,Pharmacies,SOLE_PROPRIETOR,chennai,Tamil Nadu,02-Jun-2025,,A,"Rs. 8,687",MCH1101,5912,Sole Proprietor,Pharmacy & Medical,2025-06-02 00:00:00,0,0,,1,0,8687.0,0,0,1101,1,1,1,3,5
MCH1104,Chander LLC,4814,Telecom,Private Limited,DELHI,Delhi,05/09/2024,,A,778.62,MCH1104,4814,Private Limited,Telecom,2024-09-05 00:00:00,0,0,,1,0,778.62,0,0,1104,0,0,0,0,1
MCH1106,"Agrawal, Ganguly and Kalla",5411,Grocery Stores,Private Limited,Delhi,Delhi,08-25-2024,ZKGK4764088745020,Enabled,"₹1,100.28",MCH1106,5411,Private Limited,Grocery,2024-08-25 00:00:00,0,0,ZKGK4764088745020,0,0,1100.28,0,0,1106,0,1,0,1,2
1107,Sen-Das,,Mobile Recharge,Private Limited,Madras,Tamil Nadu,09-16-2024,VDXT6754486241555,Live,,1107,,Private Limited,Unknown,2024-09-16 00:00:00,0,0,VDXT6754486241555,0,1,,1,0,1107,0,0,0,0,1
MCH1109,Solanki Ltd,5311.0,Department Stores,PARTNERSHIP,MUMBAI,Maharashtra,23-Jul-2023,XXXX9384,Live,"1,262.18",MCH1109,5311,Partnership,Department Stores,2023-07-23 00:00:00,0,0,XXXX9384,0,1,1262.18,0,0,1109,1,1,1,3,2
mch1115,Nadkarni LLC,4131,transprt,Partnership,Jalandhar,Punjab,,,Active,"Rs. 6,943",MCH1115,4131,Partnership,Transportation,,1,0,,1,0,6943.0,0,0,1115,0,0,0,0,1
mch1118,"BASAK, PILLAI AND ARORA",5999.0,Retail Other,private_limited,Madras,Tamil Nadu,01-06-2026,,ACTIVE,3933.25,MCH1118,5999,Private Limited,Other Retail,2026-01-06 00:00:00,0,0,,1,0,3933.25,0,0,1118,1,1,1,3,2
MCH-1122,"Rana, Choudhury and Garde",5912,Medical,PARTNERSHIP,LDH,Punjab,30/11/2024,XXXX6047,A,4792.92,MCH1122,5912,Partnership,Pharmacy & Medical,2024-11-30 00:00:00,0,0,XXXX6047,0,1,4792.92,0,0,1122,1,1,1,3,2
MCH 1124,"Hayre, Chana and Bhasin",MCC-5699,Clothing,Sole Proprietor,jaipur,Rajasthan,10/05/2024,,Enabled,843.01,MCH1124,5699,Sole Proprietor,Clothing,2024-05-10 00:00:00,0,0,,1,0,843.01,0,0,1124,1,1,1,3,2
1126,"Nayak, Dhaliwal and Soman",5411,Grocery Stores,PARTNERSHIP,Jalandhar,Punjab,02-12-2026,,A,₹564.83,1126,5411,Partnership,Grocery,2026-02-12 00:00:00,0,0,,1,0,564.83,0,0,1126,0,0,0,0,1
MCH1128,Natt-Keer,05999,Retail Other,SOLE-PROPRIETOR,Hyd,Telangana,1768048975,XXXX1918,ACTIVE,"₹1,028.32",MCH1128,5999,Sole Proprietor,Other Retail,2026-01-10 12:42:55,0,0,XXXX1918,0,1,1028.32,0,0,1128,1,1,1,3,2
mch1130,"K0thari, Singh and Sura",5311,Department Stores,sole_proprietor,LDH,Punjab,20/09/2025 12:31 AM,,Live,3514.91,MCH1130,5311,Sole Proprietor,Department Stores,2025-09-20 00:31:00,0,0,,1,0,3514.91,0,0,1130,0,1,0,1,2
MCH1132,Cheema Inc,5999,Retail Other,SOLE_PROPRIETOR,Ludhiana,Punjab,2023/09/10,3299217122,A,,MCH1132,5999,Sole Proprietor,Other Retail,2023-09-10 00:00:00,0,0,3299217122,0,0,,1,0,1132,0,0,0,0,1
MCH1133,Shere Ltd,5912,Pharmacies,partnership,Bengaluru,Karnataka,10/06/2025,,Live,11501.53,MCH1133,5912,Partnership,Pharmacy & Medical,2025-06-10 00:00:00,0,0,,1,0,11501.53,0,0,1133,0,0,0,0,1
MCH1134,"Sani, Uppal and Pillai",,Pharmacies,Partnership,Kolkata,West Bengal,11/04/2025,,Live,6246.52,MCH1134,,Partnership,Unknown,2025-04-11 00:00:00,0,0,,1,0,6246.52,0,0,1134,1,1,0,2,2
MCH1136,"bahri, kanda and seth",5942.0,Book Store,private_limited,Madras,Tamil Nadu,17/07/2023,XXXX4885,Live,₹896.84,MCH1136,5942,Private Limited,Books & Stationery,2023-07-17 00:00:00,0,0,XXXX4885,0,1,896.84,0,0,1136,0,0,0,0,1
MCH1138,"Shan,BuchandTank",5942,BOOKS_STATIONERY,Sole Proprietor,Bangalore,Karnataka,03/07/2024 09:25 PM,XXXX0724,Active,1369.64,MCH1138,5942,Sole Proprietor,Books & Stationery,2024-07-03 21:25:00,0,0,XXXX0724,0,1,1369.64,0,0,1138,0,0,0,0,1
MCH 1142,MORAR LLC,MCC-5999,Misc Retail,SOLE_PROPRIETOR,jalandhar,Punjab,,,Active,,MCH1142,5999,Sole Proprietor,Other Retail,,1,0,,1,0,,1,0,1142,1,0,1,2,2
MCH1143,ARYA-KHANNA,4131,transprt,SOLE_PROPRIETOR,jalandhar,Punjab,2023/08/16,9953530102,Enabled,486.39,MCH1143,4131,Sole Proprietor,Transportation,2023-08-16 00:00:00,0,0,9953530102,0,0,486.39,0,0,1143,0,0,0,0,1
MCH1144,Morar-Rattan,5699,CLOTHS,SOLE-PROPRIETOR,jaipur,Rajasthan,2025/01/20,,Live,1182.28,MCH1144,5699,Sole Proprietor,Clothing,2025-01-20 00:00:00,0,0,,1,0,1182.28,0,0,1144,0,0,0,0,1
MCH1147,Dayal-Sabharwal,4814,phone service,Individual,Kolkata,West Bengal,11-23-2023,XXXX2380,Disabled,₹939.97,MCH1147,4814,Individual,Telecom,2023-11-23 00:00:00,0,0,XXXX2380,0,1,939.97,0,0,1147,0,0,0,0,1
MCH1148,Deep-Manda,4131,Bus/Taxi,INDIVIDUAL,ASR,Punjab,2025-06-15 00:35:23,,Active,"Rs. 3,461",MCH1148,4131,Individual,Transportation,2025-06-15 00:35:23,0,0,,1,0,3461.0,0,0,1148,0,0,0,0,1
MCH1152,Raman-Choudhury,,Grocery,PARTNERSHIP,Chennai,Tamil Nadu,19-Dec-2025,XXXX0685,Active,Rs. 233,MCH1152,,Partnership,Unknown,2025-12-19 00:00:00,0,0,XXXX0685,0,1,233.0,0,0,1152,0,0,0,0,1
MCH1153,"Oommen, Sastry and Varty",5311,Department Store,PRIVATE-LIMITED,ASR,Punjab,06-17-2024,XXXX3616,Enabled,873.51,MCH1153,5311,Private Limited,Department Stores,2024-06-17 00:00:00,0,0,XXXX3616,0,1,873.51,0,0,1153,1,1,1,3,2
MCH1154,"oommen, tata and randhawa",,hotel,PARTNERSHIP,Kolkata,West Bengal,2025/04/18,RBFJ6015227406897,Active,INR 655.30,MCH1154,,Partnership,Unknown,2025-04-18 00:00:00,0,0,RBFJ6015227406897,0,0,655.3,0,0,1154,1,1,1,3,3
MCH1155,Sha LLC,4131,Transportation,Sole Proprietor,Amritsar,Punjab,08/03/2024,,Disabled,"₹1,753.08",MCH1155,4131,Sole Proprietor,Transportation,2024-03-08 00:00:00,0,0,,1,0,1753.08,0,0,1155,0,0,0,0,1
MCH1159,Sabharwal-Gole,MCC-4814,Telecom,PARTNERSHIP,Hyd,Telangana,,XXXX4659,Closed,790.13,MCH1159,4814,Partnership,Telecom,,1,0,XXXX4659,0,1,790.13,0,0,1159,1,1,1,3,2
MCH1161,"Kuruvilla, Pall and Ravel",5411,GROCERY_STORE,PRIVATE_LIMITED,jalandhar,Punjab,12-29-2023,,Enabled,₹549.82,MCH1161,5411,Private Limited,Grocery,2023-12-29 00:00:00,0,0,,1,0,549.82,0,0,1161,0,0,0,0,1
mch1162,"Anand, Mistry and Khare",5999,Miscellaneous,private_limited,New Delhi,Delhi,12-02-2025,XXXX2346,Live,"Rs. 1,311",MCH1162,5999,Private Limited,Other Retail,2025-12-02 00:00:00,0,0,XXXX2346,0,1,1311.0,0,0,1162,0,0,0,0,1
mch1163,"Gour, Comar and Palan",MCC-4814,Telecom,PARTNERSHIP,LDH,Punjab,10-25-2025,BYWD2962302915002,Closed,5449.73,MCH1163,4814,Partnership,Telecom,2025-10-25 00:00:00,0,0,BYWD2962302915002,0,0,5449.73,0,0,1163,1,1,1,3,2
MCH1164,Goda PLC,4131,Transport,partnership,Ludhiana,Punjab,27/10/2025,,Enabled,Rs. 953,MCH1164,4131,Partnership,Transportation,2025-10-27 00:00:00,0,0,,1,0,953.0,0,0,1164,0,0,0,0,1
MCH-1168,"Seshadri, Borah and Sachdeva",misc,chemist,Individual,Pune,Maharashtra,2026-01-04 03:19:25,CWXA5916653675162,A,4780.41,MCH1168,,Individual,Unknown,2026-01-04 03:19:25,0,0,CWXA5916653675162,0,1,4780.41,0,0,1168,1,1,1,3,3
MCH1169,Dey-Gupta,5812,eating place,INDIVIDUAL,BLR,Karnataka,03-17-2023,0295503532,A,1427.7,MCH1169,5812,Individual,Food & Restaurants,2023-03-17 00:00:00,0,0,0295503532,0,0,1427.7,0,0,1169,0,0,0,0,1
1170,"Wali, Bala and Sanghvi",05311,Department Store,SOLE-PROPRIETOR,BLR,Karnataka,01/04/2023 03:30 PM,,INACTIVE,"₹1,109.65",1170,5311,Sole Proprietor,Department Stores,2023-04-01 15:30:00,0,0,,1,0,1109.65,0,0,1170,0,0,0,0,1
MCH1171,Sampath-Shroff,05912,MEDICAL_STORE,PARTNERSHIP,Dilli,Delhi,1768800060,,Live,INR 393.94,MCH1171,5912,Partnership,Pharmacy & Medical,2026-01-19 05:21:00,0,0,,1,0,393.94,0,0,1171,0,0,0,0,1
1174,Mander-Kari,05411,groceries,PARTNERSHIP,Jalandar,Punjab,01/05/2023,,ACTIVE,1013.97,1174,5411,Partnership,Grocery,2023-05-01 00:00:00,0,0,,1,0,1013.97,0,0,1174,0,0,0,0,1
MCH1177,"Mistry, Savant and Jha",4131,Transportation,Sole Proprietor,amritsar,Punjab,29/08/2025 06:32 PM,,ACTIVE,"1,663.99",MCH1177,4131,Sole Proprietor,Transportation,2025-08-29 18:32:00,0,0,,1,0,1663.99,0,0,1177,0,0,0,0,1
MCH1179,Suresh-Chand,5942,Books,Partnership,Madras,Tamil Nadu,19/11/2025,,Enabled,,MCH1179,5942,Partnership,Books & Stationery,2025-11-19 00:00:00,0,0,,1,0,,1,0,1179,0,0,0,0,1
mch1180,Sangha and Sons,5411,Grocery,individual,HYDERABAD,Telangana,11-03-2023,VUOK6265318074983,Enabled,993.08,MCH1180,5411,Individual,Grocery,2023-11-03 00:00:00,0,0,VUOK6265318074983,0,0,993.08,0,0,1180,0,0,0,0,1
MCH1183,Rajan LLC,5812,FOOD_SERVICES,PRIVATE_LIMITED,bengaluru,Karnataka,02-02-2023,,Active,"1,717.84",MCH1183,5812,Private Limited,Food & Restaurants,2023-02-02 00:00:00,0,0,,1,0,1717.84,0,0,1183,0,0,0,0,1
MCH1185,"Buch, Barad and Toor",5999,Other,PARTNERSHIP,Jalandhar,Punjab,06-16-2024,6769671490,Active,2955.34,MCH1185,5999,Partnership,Other Retail,2024-06-16 00:00:00,0,0,6769671490,0,0,2955.34,0,0,1185,0,0,0,0,1
